matchid,player,championid,ss1,ss2,role,position,win,kills,deaths,assists,totdmgdealt,magicdmgdealt,physicaldmgdealt,truedmgdealt,totdmgtaken,magicdmgtaken,physdmgtaken,truedmgtaken,totminionskilled,neutralminionskilled,ownjunglekills,enemyjunglekills
53457,8,57,3,4,DUO_SUPPORT,BOT,1,6,4,16,30519,19982,6318,4218,20323,9997,10136,190,29,0,0,0
53458,8,57,3,4,DUO_SUPPORT,BOT,1,2,2,9,43552,39529,3999,22,14375,4052,10275,48,24,6,0,6
53491,6,57,4,3,DUO_SUPPORT,BOT,1,3,1,5,23709,21816,1892,0,10094,4119,5951,24,22,0,0,0
53498,2,57,3,4,DUO_SUPPORT,BOT,0,1,9,14,67426,46572,8504,12348,38379,19647,16236,2494,68,0,0,0
53501,8,57,3,4,DUO_SUPPORT,BOT,1,6,4,7,58464,46679,11331,454,14346,4701,8665,980,35,7,0,7
53505,8,57,3,4,DUO_SUPPORT,BOT,1,2,4,14,43666,35368,8297,0,16763,6059,10321,382,15,6,0,6
53507,2,57,3,4,DUO_SUPPORT,BOT,1,2,2,16,28637,23617,5020,0,10442,1578,7601,1263,12,0,0,0
53520,9,57,3,4,DUO_SUPPORT,BOT,1,3,9,11,34801,30237,4564,0,16090,5582,8977,1529,23,5,0,5
53521,1,57,4,3,DUO_SUPPORT,BOT,0,2,5,18,58604,52330,6186,87,25392,7664,15857,1871,36,0,0,0
53525,9,57,3,4,DUO_SUPPORT,BOT,0,3,9,7,60683,54579,6104,0,22188,8210,13978,0,21,8,6,2
53632,10,57,4,3,DUO_SUPPORT,BOT,0,2,4,9,74301,54413,10990,8896,29136,13100,13902,2133,74,0,0,0
53657,5,57,14,4,DUO_SUPPORT,BOT,1,3,1,5,28069,22331,5389,348,7455,2718,4577,159,15,1,0,1
53690,3,57,14,4,DUO_SUPPORT,BOT,0,1,9,8,36170,30350,2797,3022,28006,6869,20495,642,24,0,0,0
53731,4,57,4,3,DUO_SUPPORT,BOT,1,1,5,15,70077,62027,6929,1119,19639,5071,13831,736,48,2,0,2
